DB02570	[H][C@](S)(CC1=CC=C(I)C=C1)C(O)=O
DB02648	C[N+](C)(C)C[C@H](O)CC(O)=O
DB02649	NC(=O)CC(O)=O
DB02651	OP(O)(=O)C(F)(F)C1=CC=C(CC(CC2=CC=C(C=C2)C(F)(F)P(O)(O)=O)(N2N=NC3=C2C=CC=C3)C2=CC=C(F)C(F)=C2)C=C1
DB02652	[H]N(O)C(=O)N([H])[C@@H](CC1=CC=CC=C1)C(O)=O
DB02655	N[C@H](CC(O)=O)C(O)=O
DB02656	O=C1C=C(OC2=C1C=CC=C2C1=CC=CC=C1)N1CCOCC1
DB02657	N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
DB02658	[H][C@]1(CO)O[C@@]([H])(OC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@]([H])(F)[C@@]([H])(O)[C@]1([H])O
DB02660	COC1=CC=C(C=C1OC1CCCC1)C(\C)=N\OC(N)=O
DB02661	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H](CO[P@](O)(=O)OP(O)(O)=O)[C@H]2O[V](=O)(=O)O[C@H]12
DB02662	OC(=O)C(=O)NC1=C(C=C(I)C=C1)C(O)=O
DB02663	C[P@@](O)(=O)CC[C@@H](N)C(O)=O
DB02664	CCCCB(O)O
DB02665	[NH3+][C@@H]1C[C@H]1C1=CC=CC=C1
DB02666	[H]N1C(=O)N(CCC[C@@H](N(O)CO)C(O)=O)C(=O)[C@]11O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB02667	COC1=CC=C2N(C=NC2=C1)[C@H]1O[C@H](CO)[C@@H](O[P@]([OH-])(=O)O[C@H](C)CNC(=O)CC[C@]2(C)[C@@H](CC(N)=O)C3=[N+]4C2=C(C)C2=[N+]5C(=CC6=[N+]7C(=C(C)C8=[N+]([C@]3(C)[C@@](C)(CC(N)=O)[C@@H]8CCC(N)=O)[Co@@]457)[C@@](C)(CC(N)=O)[C@@H]6CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O)[C@H]1O
DB02668	CC1=CC=CC=C1CNC(=O)[C@H]1N(CSC1(C)C)C(=O)[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC(O)=C1C
DB02669	[H][C@](S)(CC1=CC=CC=C1)C(=O)NCC(=O)N1[C@@]([H])(CC[C@]1([H])C1=CC=CC=C1)C(O)=O
DB02670	[H][C@]1(O)C[C@@]([H])(CO)O[C@]([H])(O)[C@]1([H])O
DB02671	CN1C=C[NH+]=C1
DB02673	COC1=CC=C2C=[N+](CCCCCCCCN3C(=O)C4=C(C=CC=C4)C3=O)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24
DB02674	[H][C@]12CS[C@@]([H])(CCCC(O)=O)[C@@]1([H])NC(=O)N2
DB02676	OCC(CO)(CO)NCCCNC(CO)(CO)CO
DB02677	CC(=O)N[C@H](CC1=CC=CC2=C1C=CC=C2)[B-](O)(O)OC[C@H](N)C(O)=O
DB02678	N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
DB02679	NC#N
DB02680	[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O
DB02681	[O-][V](=O)[O+]([V](=O)O[V](=O)(=O)O[V](=O)(=O)[O+]([V]([O-])=O)[V](=O)(=O)=O)[V](=O)(=O)=O
DB02683	[H][C@@](O)([C@@]([H])(O)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC)[C@@]([H])(OCC1=CC=C(C=C1)C1=CN=CC=C1)C(O)=N[C@@]([H])(C(C)C)C(O)=NC
DB02684	[H]N([H])[C@@H](CS)C(=O)N([H])S(=O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N=CN=C12)N([H])[H]
DB02685	CC1=CC=CC(C[C@H](N)C(O)=O)=C1
DB02686	[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@]([H])(OCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O
DB02688	NC(=C)C(O)=O
DB02689	[H][C@](N)(CSCCS(N)(=O)=O)C(O)=O
DB02690	CC1=NC2=C(C=CC=C2O)C(=O)N1
DB02691	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC([O-])=O
DB02693	[H][C@@]1(O)CSSC[C@@]1([H])O
DB02694	[H][C@](O)(C(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O)C(C)(C)CO
DB02695	[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(OCCCCC)[C@@]1([H])O
DB02696	[H]N([H])CCCCCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)N([H])C1=O
DB02697	CC(C)[C@@H](N)C(=O)NO
DB02700	[H][C@@]1(N)C[C@]([H])(O)[C@@]([H])(CO)O[C@]1([H])O
DB02702	[H][C@]1(CC2=CC=CC=C2)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC=CS2)[C@]([H])(CC2=CC=CC=C2)[C@]([H])(O)[C@@]1([H])O
DB02704	O[C@@H]([C@H](O)[C@@H](CCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2)[C@@H](CCC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=C1C=CC=C2
DB02705	[H][C@]1(NCCC2=C1C=C(NC(=O)C1=CC=C3C=C(C=CC3=C1)C(N)=N)C=C2)C(C)C
DB02706	[H][C@](CS)(CCC1=CC=CC=C1)C(=O)N=C(C(O)=O)C1=CC=C(CN2C=NN=N2)S1
DB02710	[H][C@@](CO)(NC(=O)C1=C(O)C(O)=CC=C1)C(O)=O
DB02711	OC[C@@H](O)[C@H](O)[C@@H](O)CN1C(=O)N(CCCCOP(O)(O)=O)C2=C1NC(=O)NC2=O
DB02712	FC1=CC=C2OCC[C@]3(NC(=O)NC3=O)C2=C1
DB02713	CC(=O)NCC(O)=O
DB02714	OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=CC(=O)NC1=O
DB02715	[H][C@](C)(COC1=CC=C(C=C1)[C@]1([H])OC2=C(S[C@]1([H])C1=CC=C(O)C=C1)C=C(O)C=C2)N1CCCC1
DB02716	C[N+]1=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C2=C1C(=O)NC(N)=N2
DB02717	[H][C@@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O[C@]4([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]4([H])O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])O
DB02719	[H]N([H])C(=O)[C@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB02720	[H]N([H])C(=O)[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DB02721	IC1=CNN=C1
DB02722	CO[C@H]1[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1C(O)=O
DB02723	O\N=C(/N)N1CCC(CC1)CNC(=O)[C@@H]1CC[C@H]2CN(CC(=O)N12)S(=O)(=O)CC1=CC=CC=C1
DB02724	O1N2C(=[O+][Fe-3]1134ON(C(=[O+]1)C)CCC[C@](C(=O)N[C@@](C(=O)N[C@@](C(O)=O)([C@@]([C@]1(S[C@@](N5C=C\C(=N\C(N)=O)N(C5=O)C)([C@@]([C@]1([H])O)([H])O)[H])[H])([H])O)[H])([H])CO)([H])NC([C@@]([H])(CCCN(O3)C(=[O+]4)C)NC([C@]([H])(N)CCC2)=O)=O)C
DB02725	[H][C@](N)(CC[C@@]1([H])C=CC([H])(N)C=C1)C(O)=O
DB02726	OC(=O)COP(O)(O)=O
DB02727	CCCC\N=C(/N)NO
DB02728	CCOC(=O)C1=CC2=CC=C(O)C=C2OC1=O
DB02729	O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC=CC(=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)C(=O)N(CC2=CC(=CC=C2)C(=O)NC2=NC3=C(N2)C=CC=C3)[C@@H]1CC1=CC=CC=C1
DB02730	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(SC)[C@]([H])(O)[C@@]1([H])O
DB02731	CC[Hg]SC1=CC=CC=C1C(O)=O
DB02733	[H][C@@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC=C(C(O)=O)C(Cl)=C2)=N1)C(C)C
DB02734	[H][C@@]1(O)OC(=C[C@]([H])(O)[C@]1([H])O)C(O)=O
DB02735	[H][C@@](N)(C(O)=O)[C@@]([H])(O)OS(O)(=O)=O
DB02736	CC(N)=O
DB02738	NC1=C2N=CN([C@@H]3O[C@H](CO[P@@](O)(=O)O[P@](O)(=O)O[P@@](O)(=O)O[P@@](O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
DB02740	OC(=O)CCCC1=CNC2=C1C=CC=C2
DB02741	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O
DB02742	[H][C@]12NC(=O)C(=O)N1[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O
DB02743	OC[C@H]1O[C@@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
DB02744	NC(=N)C1=CC=C(O)C(CN2CC[C@H](NS(=O)(=O)C3=CC4=C(S3)C=CC=N4)C2=O)=C1
DB02745	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O
DB02746	OC(=O)C1=CC=CC=C1C(O)=O
DB02749	OC(=O)C1=CC(C(O)=O)=C(C=C1C(O)=O)C(O)=O
DB02750	C[Hg]SC[C@@H](N)C(O)=O
DB02751	NC(N)=NCC(O)=O
DB02752	[H][C@@]1(CCCN1S(=O)(=O)C1=CC=C(C)C=C1)C(O)=O
DB02753	[H][C@]1(CO)O[C@@]([H])(N2C=NC3=C2N=CN=C3[SeH])[C@]([H])(O)[C@]1([H])O
DB02754	CCCCN1C(CC2=CC(OC)=C(OC)C(OC)=C2)=NC2=C(N)N=CN=C12
DB02755	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O[C@@]3([H])O[C@]([H])(COP(O)(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@]3([H])O)[C@]2([H])O)[C@]1([H])O
DB02757	N1C=CC=N1
DB02758	OC(=O)CCC1=CNC2=CC=CC=C12
DB02759	[H]N([C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@@H](OC3=CC4=C(C=C3)C(C)=CC(=O)O4)[C@H](N([H])C(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(C)=O
DB02761	N[C@@H](CSS)C(O)=O
DB02762	OP(O)(=O)OC1=CC=CC2=CC=C(N=C12)C#N
DB02763	OC(=O)C1=CC(S)=CC=C1[N+]([O-])=O
DB02765	C[C@@H](O)CN1C=NC2=C1N=CN=C2N
DB02766	[O-]\C(OCC1=CC=CC=C1)=N/[C@H](CC1=CC=CC=C1)C(=[OH+])C[N+]#N
DB02767	CCCCCCCCCCC[C@@H](O)CC(O)=O
DB02768	CC(C)(C)OC=O
DB02770	[H]N([H])C1=NC=C2N(C=NC2=N1)[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
DB02772	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
DB02773	CCCOC1=CC=C(CC(O)=O)C=C1Cl
DB02774	OCCCO
DB02778	[H][C@]1(O)[C@]([H])(O)[C@]([H])(COP(O)(O)=O)O[C@]1([H])COP(O)(O)=O
DB02779	CCCCCCCCCCCC[N+](C)(C)C
DB02780	[H][C@](N)(CS)CC(O)=O
DB02783	CC1=NC=C(COP(O)(O)=O)C(CNOCC(O)=O)=C1O
DB02784	[H]N(CCC(=O)N([H])[C@@]([H])(CO)C(=O)N([H])CCC1=CC=C(C=C1)N([H])C(=O)C(O)=O)C(=O)CBr
DB02785	[H]N([C@H]1[C@@H](C)CC[C@H]1O)C(=O)[C@@H](C[C@H](O)CN1CCN(C[C@H]1C(=O)N([H])C(C)(C)C)C(=O)C1=CN=C(N2CCN(C)CC2)C(Cl)=N1)CC1=CC=CC=C1
DB02786	[H][C@@]1(O)C[C@@](O)(C=C(F)[C@@]1([H])O)C(O)=O
DB02787	[H][C@@](C)(O)N[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO
DB02790	[H]N1C(=O)C=CN([C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OC3=CC=CC=C3)[C@@H](O)[C@H]2O)C1=O
DB02793	[H][C@]1(O)C(=CC=C[C@]1([H])OC(=C)C([O-])=O)C([O-])=O
DB02794	[H]N([H])C1=NC(=O)C2=C(C=CC(CC(O)(CN([H])CC(=O)N([H])[C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C3=CC=C(C=C3)C(=O)N([H])[C@@H](CCC(O)=O)C(O)=O)=C2)N1[H]
DB02795	COC1=CC=C(C=C1)C(O)=O
DB02796	[H]N1C=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1C(=O)N=CN2[H]
DB02797	OB(O)C1=CC=CC(=C1)[N+]([O-])=O
DB02798	[H][C@]1(COP(C)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02799	CCN(CC)C1=CC2=C(C=C1)C=C(C(=O)N\C=C/N1C(=O)CCC1=O)C(=O)O2
DB02800	NC1=NC2=C(N(CO)[C@@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=N2)C(=O)N1
DB02801	[H][C@@]1(O)C[C@@](O)(C=C[C@@]1([H])O)C(O)=O
DB02802	[H]N([H])C(=O)C1=CC(=CC(O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)=C1)[N+]([O-])=O
DB02803	OC[C@@H](O)CC1=CC=CC=C1
DB02804	[H][C@@]1(O)CN(CC2=CC=CC=C2)N(CC2=CC(OC)=C(O)C=C2)C(=O)N(CC2=CC(OC)=C(O)C=C2)[C@]1([H])CC1=CC=CC=C1
DB02805	[H]N1C(=O)C=CN([C@@H]2O[C@H](CO)[C@@H](OP(O)(O)=O)[C@@H]2O)C1=O
DB02809	COC1=CC(CC2=C[NH+]=C(N)N=C2N)=CC(OCCC[C@@H](CCC([O-])=O)C([O-])=O)=C1Br
DB02810	NC(=O)CN(CC(O)=O)CC(O)=O
DB02811	[H]P(=O)(OCC)OCC
DB02812	[H]N([H])C(=NCCC[C@H](N([H])C(=O)[C@@H]1C[C@@H](O)CN1C(C)=O)C(=O)C1=NC2=CC=CC=C2S1)N([H])[H]
DB02813	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1=O
DB02816	[H][C@@]1(SC=C(NC=C1C=O)C(O)=O)C1=CN(C)N=N1
DB02817	[H][C@@]1(O)C[C@@]2(C)C(=O)C[C@]1([H])C2(C)C
DB02818	N[C@@H](CN1C=C(I)C(=O)NC1=O)C(O)=O
DB02819	[H][C@]1(COP(O)(O)=O)O[C@]([H])(N2C=NC3=C2C=CC(C)=C3)[C@]([H])(O)[C@]1([H])O
DB02820	[H][C@@](N1C=NC2=NN(C=C2C1=S)[C@@]1([H])C=CN(C=C1C([O-])=N)[C@]1([H])O[C@]([H])(COP([O-])(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])([O-])[C@]2([H])[O-])[C@@]([H])(O)[C@@]1([H])O)(C(=O)N1CCCCCC1)C1=CC=CC=C1
DB02821	NOCC[C@H](N)C(O)=O
DB02822	OCC1=CC=C(Br)C=C1
DB02823	OC(=O)CP(O)(O)=O
DB02824	CC1=NC=C(COP(O)(O)=O)C(CNCC(O)=O)=C1O
DB02825	CP([O-])=O
DB02827	[H][C@@]1(COC2=NS(=O)(=O)C3=C2C=CC=C3)OCCC2=C1SC(NC(=O)C(O)=O)=C2C(O)=O
DB02828	OC(=O)CCC(=O)CF
DB02829	CC(=O)NC1=CC=C(C=C1NC(=O)C[NH3+])C(O)=O
DB02830	[H][C@](CO)(CCN1C=CC2=C1C=C(NC(=O)NCC1=CC=CC=C1)C=C2)N1C=NC(=C1)C(N)=O
DB02831	[H]OP([O-])(=O)O[H]
DB02832	C[C@@]1(CC(O)=O)C2=CC3=C(CC(O)=O)C(CCC(O)=O)=C4C=C5N6C(=CC7=C(CCC(O)=O)[C@](C)(CC(O)=O)C8=CC(N2[Fe@]6(N34)N78)=C1CCC(O)=O)C(CC(O)=O)=C5CCC(O)=O
DB02833	CC1=C(SC(N)=N1)C1=NC(NC2=CC=CC(=C2)[N+]([O-])=O)=NC=C1
DB02834	OC(=O)COC1=CC(F)=CC=C1C(=O)NCC1=NC2=C(S1)C(F)=CC(F)=C2F
DB02835	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O
DB02836	[H]N([H])C1=NC(=O)C2=C(N1[H])N(C=N2)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@]2([H])O[P@](O)(=O)O[C@@]12[H]
DB02837	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1OS(O)(=O)=O
DB02838	[O-]C(=O)C1=[NH+]CCC1
DB02839	OC(=O)C1=C(O)C=C(O)C=C1
DB02840	CCC1=C(O)C=C(O)C(=C1)C1=NNC(C(O)=O)=C1C1=CC=C2OCOC2=C1
DB02841	CCOC1=C(C(=O)NCB(O)O)C2=C(C=CC=C2)C=C1
DB02843	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
DB02844	[H][C@]1(CSC(CCCCCN)=CCN)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB02846	[H][C@]1(CSCN1)C(O)=O
DB02848	CCOC1=C(OCC)C=C2C(NC3=CC=CC(=C3)C3=CSC(CO)=N3)=NC=NC2=C1
DB02849	CC1=NC=C(COP(O)(O)=O)C(CNC2(CC2)C(O)=O)=C1O
DB02850	COC1=CC=C(C=C1)C1=C(C)C(=CC=C1S(C)(=O)=O)C(=O)C1=C(O)N(N=C1)C(C)(C)C
DB02851	[H][C@@]12CC[C@@](C)(C(=S)C1)C2(C)C
